"index","request_bytes","response_bytes","checksum_valid"
0,0  0  160  0  1  0  8  252,16  3  160  64  0  0  16  72  122  121  122  40  0  24  51  126,True
1,1  0  160  0  1  0  8  255,16  3  160  64  0  0  16  72  122  121  122  40  0  24  51  126,True
2,2  0  160  0  1  0  8  254,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
3,3  0  160  0  1  0  8  249,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
4,4  0  160  0  1  0  8  248,16  3  160  64  0  0  16  72  122  121  122  40  0  24  51  126,True
5,5  0  160  0  1  0  8  251,16  3  160  64  0  0  16  72  122  121  122  40  0  24  51  126,True
6,6  0  160  0  1  0  8  250,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
7,7  0  160  0  1  0  8  229,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
8,8  0  160  0  1  0  8  228,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
9,9  0  160  0  1  0  8  231,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
10,10  0  160  0  1  0  8  230,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
11,11  0  160  0  1  0  8  225,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
12,12  0  160  0  1  0  8  224,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
13,13  0  160  0  1  0  8  227,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
14,14  0  160  0  1  0  8  226,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
15,15  0  160  0  1  0  8  237,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
16,16  0  160  0  1  0  8  236,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
17,17  0  160  0  1  0  8  239,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
18,18  0  160  0  1  0  8  238,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
19,19  0  160  0  1  0  8  233,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
20,20  0  160  0  1  0  8  232,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
21,21  0  160  0  1  0  8  235,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
22,22  0  160  0  1  0  8  234,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
23,23  0  160  0  1  0  8  149,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
24,24  0  160  0  1  0  8  148,12  26  4  64  0  64  0  64  0  64  0  127  0  24  51  126,False
